,score,day,Movement
2019-11-06,0.3026384615384615,2,1.1541219637642985
2019-11-07,0.2210675675675676,3,0.2736911532117192
2019-11-10,0.3476,6,0.7918744077686002
2019-11-11,0.141824,0,-0.09153947482981595
2019-11-12,0.1665418604651163,1,0.9581714432047805
2019-11-13,0.17875555555555558,2,-0.6919554237000858
2019-11-14,0.18243962264150945,3,1.1879413626605606
2019-11-17,0.19524666666666668,6,0.5042238604754612
2019-11-18,0.1428230769230769,0,-0.30326690590974925
2019-11-19,0.21434909090909093,1,-1.1641352789916404
2019-11-20,0.04020625,2,-0.4483532577558291
2019-11-21,0.16323731343283587,3,-0.08778285841776201
2019-11-24,0.39694,6,1.7533733342993463
2019-11-25,0.26345,0,-0.7808745675403683
2019-11-26,0.10561363636363637,1,1.3432289457681934
2019-11-28,0.3242363636363637,3,-0.220272673823263
2019-12-01,0.457575,6,-1.156228066276932
2019-12-02,0.07716363636363636,0,-1.7830008719494583
2019-12-03,0.1288015384615385,1,0.8826293843448463
2019-12-04,0.14873658536585366,2,1.467104081538917
2019-12-05,0.06361136363636362,3,1.9316216845698397
2019-12-08,0.0747764705882353,6,-1.4000250156965377
2019-12-09,0.11723500000000002,0,0.5844585777127875
2019-12-10,0.11597599999999998,1,0.8529431822556166
2019-12-11,-0.00618974358974359,2,0.2548286707139802
2019-12-12,0.1502308823529412,3,1.3593112298473153
2019-12-15,0.22384444444444448,6,1.711784495953994
2019-12-16,0.176626,0,0.19654858367168515
2019-12-17,0.2802888888888889,1,-0.2389453638575456
2019-12-18,0.12445999999999995,2,0.10009094556535647
2019-12-19,0.0873137931034483,3,-0.20712444577051237
2019-12-22,0.07855,6,1.6318319442280016
2019-12-23,0.118192,0,0.09506118222550874
2019-12-25,0.9287,2,1.9840376457167963
2019-12-26,0.1922138888888889,3,-0.037944782332632876
2019-12-29,0.08459411764705882,6,0.5935144480196941
2019-12-30,0.12342894736842107,0,0.7306469036691077
2020-01-01,0.19300952380952385,2,2.281645053113812
2020-01-02,0.11070344827586204,3,-0.9722093116873998
2020-01-05,0.162805,6,0.7968255889831966
2020-01-06,0.1590078947368421,0,-0.47030037829575155
2020-01-07,0.16055882352941175,1,1.608615185014739
2020-01-08,0.17135000000000006,2,2.124090174361326
2020-01-09,0.14994705882352946,3,0.22606201146724292
2020-01-12,0.19880499999999998,6,2.136442850797149
2020-01-13,0.07093548387096774,0,-1.350327188145184
2020-01-14,0.057053571428571426,1,-0.42855096452272257
2020-01-15,0.1223788461538462,2,1.2526450904627007
2020-01-16,0.14121562499999998,3,1.1071046104242699
2020-01-20,0.0572923076923077,0,-0.6776906413320849
2020-01-21,0.17118437499999994,1,0.35695942442930395
2020-01-22,0.16461153846153845,2,0.48158094094887804
2020-01-23,0.21916578947368426,3,-0.28820211217928104
2020-01-26,0.421575,6,-2.940529415422921
2020-01-27,-0.0073894736842105265,0,2.828935143366107
2020-01-28,0.110490243902439,1,2.0932340780152936
2020-01-29,0.14710247933884296,2,-0.144904781027011
2020-01-30,0.11368444444444445,3,-4.433874367399704
2020-02-02,0.05386666666666667,6,-0.2746275821143396
2020-02-03,0.12935609756097566,0,3.3013559279526428
2020-02-04,0.0788,1,0.815448879685432
2020-02-05,0.14536060606060608,2,1.169685266345688
2020-02-06,0.0185212121212121,3,-1.359270482687891
2020-02-09,0.13521176470588234,6,0.47496044339954135
2020-02-10,-0.03185454545454546,0,-0.6033362177223167
2020-02-11,0.06206060606060606,1,2.3747863822457083
2020-02-12,0.13285999999999998,2,-0.7121088854736501
2020-02-13,0.093578125,3,0.024627573806879077
2020-02-17,-0.08806521739130434,0,-1.8310566494430192
2020-02-18,-0.02126695652173913,1,1.4482787061132818
2020-02-19,0.1336436363636364,2,-1.0259063519495681
2020-02-20,0.02066428571428572,3,-2.2634911975509597
2020-02-23,0.13302142857142854,6,-4.750048337364088
2020-02-24,0.04916206896551724,0,-3.387213083270535
2020-02-25,-0.03633265306122448,1,1.5863678426795147
2020-02-26,0.12378604651162785,2,-6.536815173818534
2020-02-27,0.028032,3,-0.05850366186648248
2020-03-01,0.0805030303030303,6,9.310063021478875
2020-03-02,0.022726865671641797,0,-3.1759145221068374
2020-03-03,0.12354285714285712,1,4.638451545660494
2020-03-04,0.2087258064516129,2,-3.243702493917766
2020-03-05,0.0011824999999999932,3,-1.3280020933633896
2020-03-08,-0.010415384615384613,6,-7.909216413961384
2020-03-09,0.037808163265306116,0,7.2021610356699295
2020-03-10,0.021473913043478263,1,-3.4730556899453924
2020-03-11,0.02183111111111111,2,-9.875460720873996
2020-03-12,0.0657169811320755,3,11.980820860563623
2020-03-15,0.07973333333333332,6,-12.86469252362683
2020-03-16,0.05519782608695655,0,4.39700860376615
2020-03-17,-0.022307843137254903,1,-2.4479985802835835
2020-03-18,0.13404130434782605,2,-0.7662102359409007
2020-03-19,0.06581515151515151,3,-6.348550635758876
2020-03-22,0.07626666666666666,6,-2.1244200377274147
2020-03-23,0.0910547619047619,0,10.032543650979475
2020-03-24,0.10355624999999996,1,-0.5508784166606495
2020-03-25,0.076203125,2,5.262311108897033
2020-03-26,0.09881395348837206,3,-4.140234927726771
2020-03-29,0.1057,6,2.8537969997321166
2020-03-30,0.058504,0,-0.20406936191665892
2020-03-31,0.021253846153846158,1,-5.2617063566366085
2020-04-01,0.103808,2,1.6686696085845387
2020-04-02,-0.060975000000000015,3,-1.4371456524959858
2020-04-05,0.0034222222222222275,6,8.72374775474849
2020-04-06,0.21821428571428567,0,-1.1582274049257824
2020-04-07,0.10982444444444443,1,2.5594618740013786
2020-04-08,0.17588529411764706,2,0.7216061073896274
2020-04-12,0.1776722222222222,6,1.962770899101196
2020-04-13,0.08175882352941177,0,5.050309923598806
2020-04-14,0.08054693877551021,1,-0.912730112645499
