,score,day,Movement
2019-11-06,0.3026384615384615,2,0.13882422155822027
2019-11-07,0.2210675675675676,3,1.1784376749008896
2019-11-10,0.3476,6,0.10277027829643792
2019-11-11,0.141824,0,0.6570351425212229
2019-11-12,0.1665418604651163,1,0.16319209388444555
2019-11-13,0.17875555555555558,2,0.5091230405111613
2019-11-14,0.18243962264150945,3,1.2900303983707673
2019-11-17,0.19524666666666668,6,0.24671185235962678
2019-11-18,0.1428230769230769,0,0.033249080443331636
2019-11-19,0.21434909090909093,1,-0.1734734057837639
2019-11-20,0.04020625,2,-0.09357434263621567
2019-11-21,0.16323731343283585,3,0.07359796652592898
2019-11-24,0.39694,6,1.0963318849281478
2019-11-25,0.26345,0,0.5289952813415155
2019-11-26,0.10102173913043476,1,0.19075757282933647
2019-11-28,0.3242363636363637,3,-0.617125416078268
2019-12-01,0.457575,6,-1.2088744919792949
2019-12-02,0.07716363636363636,0,-0.160486200402854
2019-12-03,0.1288015384615385,1,0.3616620682684202
2019-12-04,0.14873658536585366,2,0.05338157919758668
2019-12-05,0.06361136363636362,3,1.2138974464988461
2019-12-08,0.0747764705882353,6,-0.25698762934892594
2019-12-09,0.11723500000000002,0,-0.15195236412587354
2019-12-10,0.11597599999999998,1,0.37714097323160445
2019-12-11,-0.00618974358974359,2,1.0151726303362363
2019-12-12,0.15023088235294116,3,0.8418138606796965
2019-12-15,0.22384444444444448,6,0.6471156843151915
2019-12-16,0.17662600000000006,0,-0.5400805071589576
2019-12-17,0.2802888888888889,1,-0.20685584760974374
2019-12-18,0.12445999999999995,2,0.8680424138589382
2019-12-19,0.0873137931034483,3,1.0917739448542907
2019-12-22,0.07855,6,0.0
2019-12-23,0.118192,0,-0.019072440953538106
2019-12-25,0.9287,2,0.8196796224210878
2019-12-26,0.19221388888888888,3,0.18277413709784085
2019-12-29,0.08459411764705882,6,-0.861864016731706
2019-12-30,0.12342894736842107,0,0.06980082125132014
2020-01-01,0.19300952380952385,2,1.851618073285266
2020-01-02,0.11070344827586204,3,-1.2451693067212832
2020-01-05,0.162805,6,0.25848237082288783
2020-01-06,0.1590078947368421,0,-0.911775296544548
2020-01-07,0.16055882352941175,1,1.5928306393402591
2020-01-08,0.17135000000000006,2,1.2492916093906237
2020-01-09,0.14994705882352946,3,-0.46269598251301725
2020-01-12,0.19880499999999998,6,1.2024255311899212
2020-01-13,0.07093548387096774,0,-0.7043059336843349
2020-01-14,0.057053571428571426,1,0.6476312700318454
2020-01-15,0.1223788461538462,2,1.832330436531171
2020-01-16,0.14121562499999998,3,0.5596723597010689
2020-01-20,0.0572923076923077,0,-0.3590731437596473
2020-01-21,0.17118437499999994,1,-0.4804802179681156
2020-01-22,0.16461153846153845,2,0.6155689661455632
2020-01-23,0.21916578947368426,3,-1.007672408613003
2020-01-26,0.421575,6,-1.6723320552593068
2020-01-27,-0.0073894736842105265,0,1.9595975467791238
2020-01-28,0.110490243902439,1,1.5592654178536058
2020-01-29,0.14710247933884296,2,2.8207661319213706
2020-01-30,0.11368444444444445,3,-1.4758661287703423
2020-02-02,0.05386666666666667,6,2.4378874313088383
2020-02-03,0.12935609756097566,0,3.291654001965205
2020-02-04,0.0788,1,-0.12213980394755186
2020-02-05,0.14536060606060608,2,2.0733819049100433
2020-02-06,0.0185212121212121,3,0.14158131698356335
2020-02-09,0.13521176470588234,6,2.615691005251408
2020-02-10,-0.01543125,0,-2.257551027308602
2020-02-11,0.06206060606060606,1,0.14638843049827877
2020-02-12,0.13285999999999998,2,-0.5413826406323374
2020-02-13,0.093578125,3,0.8927040551886201
2020-02-17,-0.08806521739130434,0,1.0143032124330986
2020-02-18,-0.02126695652173913,1,0.29991430097084937
2020-02-19,0.13364363636363638,2,-1.5271277587174281
2020-02-20,0.02066428571428572,3,-3.161263354164101
2020-02-23,0.13302142857142854,6,-4.311550218355354
2020-02-24,0.04916206896551724,0,-1.6501770468621668
2020-02-25,-0.03633265306122448,1,1.2494664219117046
2020-02-26,0.1309818181818182,2,-7.045889633371683
2020-02-27,0.02803200000000001,3,2.4212906418684677
2020-03-01,0.0805030303030303,6,6.653909943697434
2020-03-02,0.022726865671641797,0,-4.791943494529205
2020-03-03,0.12354285714285712,1,3.6715075777224326
2020-03-04,0.2087258064516129,2,-2.509523067422359
2020-03-05,0.0011825000000000002,3,-2.826718485728863
2020-03-08,-0.010415384615384613,6,-6.7772625940768165
2020-03-09,0.037052,0,6.838404158178291
2020-03-10,0.021473913043478263,1,-4.530194971967882
2020-03-11,0.02183111111111111,2,-9.483831196117398
2020-03-12,0.0657169811320755,3,14.216879011254147
2020-03-15,0.07973333333333335,6,-14.739026733210247
2020-03-16,0.05519782608695655,0,8.233659184553876
2020-03-17,-0.022307843137254903,1,-4.209606455492487
2020-03-18,0.13404130434782605,2,1.6453140385105591
2020-03-19,0.06581515151515151,3,-3.755871801907218
2020-03-22,0.07626666666666666,6,-0.9974513358247505
2020-03-23,0.0910547619047619,0,9.089567651814146
2020-03-24,0.10355624999999996,1,-0.9572722509728626
2020-03-25,0.076203125,2,6.25511815484312
2020-03-26,0.09881395348837206,3,-4.106090091807191
2020-03-29,0.1057,6,7.034079243991376
2020-03-30,0.058504000000000014,0,-1.5727397383054953
2020-03-31,0.021253846153846158,1,-3.5508235241312858
2020-04-01,0.103808,2,2.0708636148643045
2020-04-02,-0.060975000000000015,3,-0.9210276047688315
2020-04-05,0.0034222222222222275,6,7.436774500887022
2020-04-06,0.21821428571428567,0,-1.0770207593116532
2020-04-07,0.10982444444444442,1,1.0031192532031108
2020-04-08,0.17588529411764706,2,0.006055725936926493
2020-04-12,0.1776722222222222,6,0.224055596330075
2020-04-13,0.08175882352941177,0,4.948338016970344
2020-04-14,0.08054693877551022,1,-1.047779747699562
2020-04-15,0.022852173913043467,2,3.0020819313937963
2020-04-16,0.09220833333333334,3,0.8811711286726087
2020-04-19,0.09998709677419353,6,-1.9820893359116298
2020-04-20,0.03471153846153845,0,-4.1357177702155745
2020-04-21,0.07833589743589743,1,3.3964924709231514
2020-04-22,0.14984464285714288,2,-1.2102405686860274
2020-04-23,0.09716,3,1.8259276251649137
2020-04-26,0.05372058823529412,6,-0.28644917884466103
2020-04-27,0.13619687500000002,0,-2.436084526412463
2020-04-28,0.1577561403508772,1,4.487364569884655
2020-04-29,0.16385573770491804,2,1.0032160744360086
2020-04-30,0.08308770491803277,3,-2.5891306127987845
2020-05-03,0.2601379310344828,6,2.4459959275128895
2020-05-04,0.05735952380952381,0,1.073585182592085
2020-05-05,0.15503389830508474,1,0.9847346066268026
2020-05-06,0.08285500000000003,2,0.5807018296936972
2020-05-07,0.16286666666666666,3,0.588217564796234
2020-05-10,0.10698399999999998,6,1.1154551157698034
2020-05-11,0.14322888888888888,0,-2.2651919358071315
2020-05-12,0.10775632183908046,1,-1.5122375945997302
2020-05-13,0.1818428571428571,2,0.43393437923249234
2020-05-14,0.1057737704918033,3,1.45682606135078
2020-05-17,0.008472727272727276,6,0.9554431243900652
2020-05-18,0.32345,0,-0.6922254788669702
2020-05-19,0.3289692307692308,1,1.3870681573606491
2020-05-20,0.2741878787878788,2,-1.2011212215518152
2020-05-21,0.3739574468085107,3,0.04361113844750797
2020-05-25,0.33132702702702704,0,-1.0571529263428525
2020-05-26,0.3161800000000001,1,0.13217476415396945
2020-05-27,0.20041111111111112,2,-0.2255105399183055
2020-05-28,0.2062867924528302,3,1.0198435803473238
2020-05-31,0.20480000000000004,6,-0.22918898173489577
2020-06-01,0.1840905660377359,0,1.1376676790041396
2020-06-02,0.2667119047619048,1,0.24336117961949455
2020-06-03,0.095984375,2,-1.3163638404891098
2020-06-04,0.2769867924528301,3,2.3398236295638863
2020-06-07,0.2588580645161291,6,0.6196625895376506
2020-06-08,0.3869557692307692,0,0.7644911311055713
2020-06-09,0.2673842696629214,1,3.709169055197914
2020-06-10,0.1896711711711712,2,-5.3698431463404255
2020-06-11,0.12592117647058826,3,0.7891801529921194
2020-06-14,0.3434499999999999,6,0.6391774279467022
2020-06-15,0.3047018867924529,0,2.4505134709442267
2020-06-16,0.201896875,1,0.34612630209511774
2020-06-17,0.2810216666666667,2,1.0708468611376531
2020-06-18,0.3689238095238096,3,-0.595971577508414
2020-06-21,0.06603658536585368,6,2.777353975586072
2020-06-22,0.1967792452830188,0,0.668092604465409
2020-06-23,0.20481333333333335,1,-2.015747489056563
2020-06-24,0.24192800000000003,2,1.2636406388707888
2020-06-25,0.1729215384615385,3,-2.001592909942118
2020-06-28,0.2576113207547169,6,1.0747253428621484
2020-06-29,0.291639393939394,0,2.5549183631045302
2020-06-30,0.3056013513513514,1,0.5847396935697136
2020-07-01,0.28515342465753435,2,0.7620937957074414
2020-07-05,0.0514142857142857,6,2.15262196040249
2020-07-06,0.2318555555555556,0,-1.1627907917191593
2020-07-07,0.25244029850746275,1,2.1992863144742802
2020-07-08,0.22219868421052635,2,0.7000883566560478
2020-07-09,0.2905046511627907,3,-0.30328735479921987
2020-07-12,0.5200212121212121,6,-3.0888715075670925
2020-07-13,0.2277243697478992,0,0.6181502162289076
2020-07-14,0.34095083333333337,1,-0.148794130776031
2020-07-15,0.3811302521008401,2,-1.9803870914148924
2020-07-16,0.3421633928571429,3,-0.5100033966275008
2020-07-19,0.3960528089887639,6,4.298108724942695
2020-07-20,0.3931505263157894,0,-1.3468868929426003
2020-07-21,0.3318590909090909,1,1.4371269653928431
2020-07-22,0.36006170212765964,2,-4.349468670292578
2020-07-23,0.2097269565217392,3,-0.6122199245415572
