tweets_date,score,day
2019-11-01,0.17702031249999997,4
2019-11-02,0.12170625,5
2019-11-03,0.1873346153846154,6
2019-11-04,0.19521666666666665,0
2019-11-05,0.2961821428571429,1
2019-11-06,0.3026384615384615,2
2019-11-07,0.2210675675675676,3
2019-11-08,0.16404054054054057,4
2019-11-09,0.31682777777777776,5
2019-11-10,0.34759999999999996,6
2019-11-11,0.141824,0
2019-11-12,0.1665418604651163,1
2019-11-13,0.17875555555555558,2
2019-11-14,0.18243962264150942,3
2019-11-15,0.21336578947368418,4
2019-11-16,0.23741290322580638,5
2019-11-17,0.19524666666666668,6
2019-11-18,0.1428230769230769,0
2019-11-19,0.21434909090909093,1
2019-11-20,0.04020625,2
2019-11-21,0.16323731343283585,3
2019-11-22,0.19614375000000003,4
2019-11-23,0.3013421052631579,5
2019-11-24,0.39693999999999996,6
2019-11-25,0.26345,0
2019-11-26,0.10102173913043477,1
2019-11-27,0.1283,2
2019-11-28,0.32423636363636366,3
2019-11-29,0.07248999999999999,4
2019-11-30,0.2638466666666667,5
2019-12-01,0.457575,6
2019-12-02,0.07716363636363636,0
2019-12-03,0.1288015384615385,1
2019-12-04,0.14873658536585366,2
2019-12-05,0.06361136363636363,3
2019-12-06,0.11638749999999998,4
2019-12-07,0.016362068965517246,5
2019-12-08,0.0747764705882353,6
2019-12-09,0.11723500000000002,0
2019-12-10,0.11597599999999998,1
2019-12-11,-0.00618974358974359,2
2019-12-12,0.15023088235294116,3
2019-12-13,0.2607324324324325,4
2019-12-14,0.11256190476190475,5
2019-12-15,0.22384444444444446,6
2019-12-16,0.17662600000000006,0
2019-12-17,0.28028888888888887,1
2019-12-18,0.12445999999999997,2
2019-12-19,0.0873137931034483,3
2019-12-20,0.337880487804878,4
2019-12-21,0.3718625,5
2019-12-22,0.07855,6
2019-12-23,0.118192,0
2019-12-24,0.1801,1
2019-12-25,0.9287,2
2019-12-26,0.19221388888888888,3
2019-12-27,0.17526346153846153,4
2019-12-28,0.18661111111111112,5
2019-12-29,0.08459411764705883,6
2019-12-30,0.12342894736842107,0
2019-12-31,0.14237843137254902,1
2020-01-01,0.19300952380952383,2
2020-01-02,0.11070344827586205,3
2020-01-03,0.09159807692307692,4
2020-01-04,0.12934736842105263,5
2020-01-05,0.162805,6
2020-01-06,0.1590078947368421,0
2020-01-07,0.16055882352941175,1
2020-01-08,0.17135000000000003,2
2020-01-09,0.14994705882352943,3
2020-01-10,0.22836666666666672,4
2020-01-11,0.3088777777777778,5
2020-01-12,0.198805,6
2020-01-13,0.07093548387096774,0
2020-01-14,0.05705357142857142,1
2020-01-15,0.12237884615384619,2
2020-01-16,0.14121562499999998,3
2020-01-17,0.2361891891891892,4
2020-01-18,0.09249285714285714,5
2020-01-19,-0.0394142857142857,6
2020-01-20,0.057292307692307705,0
2020-01-21,0.17118437499999997,1
2020-01-22,0.16461153846153845,2
2020-01-23,0.21916578947368426,3
2020-01-24,0.11566216216216216,4
2020-01-25,0.21304516129032258,5
2020-01-26,0.42157500000000003,6
2020-01-27,-0.007389473684210527,0
2020-01-28,0.11049024390243901,1
2020-01-29,0.14710247933884296,2
2020-01-30,0.11368444444444446,3
2020-01-31,0.18312,4
2020-02-01,-0.049726923076923085,5
2020-02-02,0.05386666666666667,6
2020-02-03,0.12935609756097563,0
2020-02-04,0.0788,1
2020-02-05,0.14536060606060608,2
2020-02-06,0.018521212121212105,3
2020-02-07,0.09551034482758623,4
2020-02-08,0.09132000000000001,5
2020-02-09,0.13521176470588236,6
2020-02-10,-0.01543125,0
2020-02-11,0.06206060606060606,1
2020-02-12,0.13285999999999998,2
2020-02-13,0.093578125,3
2020-02-14,-0.050144444444444436,4
2020-02-15,0.1546157894736842,5
2020-02-16,0.16183,6
2020-02-17,-0.08806521739130434,0
2020-02-18,-0.02126695652173913,1
2020-02-19,0.13364363636363638,2
2020-02-20,0.02066428571428572,3
2020-02-21,0.03694418604651163,4
2020-02-22,0.1582285714285714,5
2020-02-23,0.13302142857142857,6
2020-02-24,0.04916206896551724,0
2020-02-25,-0.03633265306122448,1
2020-02-26,0.1309818181818182,2
2020-02-27,0.02803200000000001,3
2020-02-28,0.048493506493506484,4
2020-02-29,-0.10060833333333334,5
2020-03-01,0.0805030303030303,6
2020-03-02,0.022726865671641793,0
2020-03-03,0.12354285714285713,1
2020-03-04,0.2087258064516129,2
2020-03-05,0.0011825000000000002,3
2020-03-06,0.07041025641025642,4
2020-03-07,0.25398333333333334,5
2020-03-08,-0.010415384615384613,6
2020-03-09,0.037051999999999995,0
2020-03-10,0.021473913043478263,1
2020-03-11,0.02183111111111111,2
2020-03-12,0.0657169811320755,3
2020-03-13,0.17456571428571432,4
2020-03-14,0.21987777777777778,5
2020-03-15,0.07973333333333335,6
2020-03-16,0.05519782608695655,0
2020-03-17,-0.022307843137254906,1
2020-03-18,0.13404130434782605,2
2020-03-19,0.06581515151515151,3
2020-03-20,0.04421714285714285,4
2020-03-21,0.10191999999999998,5
2020-03-22,0.07626666666666666,6
2020-03-23,0.0910547619047619,0
2020-03-24,0.10355624999999997,1
2020-03-25,0.076203125,2
2020-03-26,0.09881395348837206,3
2020-03-27,0.12097894736842107,4
2020-03-28,-0.11220000000000001,5
2020-03-29,0.1057,6
2020-03-30,0.05850400000000001,0
2020-03-31,0.021253846153846154,1
2020-04-01,0.10380800000000001,2
2020-04-02,-0.06097500000000001,3
2020-04-03,0.09488333333333333,4
2020-04-04,-0.009524999999999999,5
2020-04-05,0.0034222222222222275,6
2020-04-06,0.21821428571428572,0
2020-04-07,0.10982444444444442,1
2020-04-08,0.17588529411764706,2
2020-04-09,0.09822857142857142,3
2020-04-10,0.10019333333333333,4
2020-04-11,0.08074074074074072,5
2020-04-12,0.1776722222222222,6
2020-04-13,0.08175882352941177,0
2020-04-14,0.08054693877551022,1
2020-04-15,0.02285217391304347,2
2020-04-16,0.09220833333333334,3
2020-04-17,0.0883469696969697,4
2020-04-18,0.18868461538461537,5
2020-04-19,0.09998709677419353,6
2020-04-20,0.03471153846153845,0
2020-04-21,0.07833589743589744,1
2020-04-22,0.14984464285714288,2
2020-04-23,0.09716,3
2020-04-24,0.16032272727272726,4
2020-04-25,0.11913571428571426,5
2020-04-26,0.05372058823529412,6
