tweets_date,score,day
2019-11-01,-0.1785116406175808,4
2019-11-02,0.09341462134156425,5
2019-11-03,0.003591664691304814,6
2019-11-04,0.009888213501098458,0
2019-11-05,-0.24910850209545338,1
2019-11-06,-0.14155626600337717,2
2019-11-07,0.22232795974426525,3
2019-11-08,-0.23744959670678048,4
2019-11-09,0.277217890576243,5
2019-11-10,0.14970747694490422,6
2019-11-11,-0.3716709175417305,0
2019-11-12,-0.21565801317201796,1
2019-11-13,-0.17794941786490037,2
2019-11-14,0.015948153435767574,3
2019-11-15,-0.09780558322092286,4
2019-11-16,0.1377091338394028,5
2019-11-17,0.02368224096184353,6
2019-11-18,0.08318229329683573,0
2019-11-19,0.5670938168744295,1
2019-11-20,0.04876552951677186,2
2019-11-21,0.06360108035529849,3
2019-11-22,0.07737380815486417,4
2019-11-23,0.12324034498207885,5
2019-11-24,0.28855783552496306,6
2019-11-25,0.2697424081969945,0
2019-11-26,0.29623228933301693,1
2019-11-27,-0.14819363820275508,2
2019-11-28,0.2331479117301858,3
2019-11-29,0.030607463973811425,4
2019-11-30,0.17527488294018906,5
2019-12-01,0.2780836774267138,6
2019-12-02,-0.04494283234423333,0
2019-12-03,0.14412795017956045,1
2019-12-04,0.09691289237249064,2
2019-12-05,-0.07487997664118125,3
2019-12-06,0.1924857653828019,4
2019-12-07,0.07140427607629955,5
2019-12-08,-0.21096939133447368,6
2019-12-09,-0.19051667179584558,0
2019-12-10,-0.12516807100535865,1
2019-12-11,-0.2859017520370026,2
2019-12-12,-0.005090835630142881,3
2019-12-13,0.2586653351642064,4
2019-12-14,0.09999129914219815,5
2019-12-15,0.37546466378674925,6
2019-12-16,0.19757289433637346,0
2019-12-17,0.1658925624256837,1
2019-12-18,-0.4200679509364042,2
2019-12-19,-0.25825353405253854,3
2019-12-20,0.07959670812922821,4
2019-12-21,0.5954090845429718,5
2019-12-22,0.009020313892125284,6
2019-12-23,0.1646922366095522,0
2019-12-24,-0.0740128769215107,1
2019-12-25,0.9287,2
2019-12-26,-0.14756211689757073,3
2019-12-27,-0.037052421297739724,4
2019-12-28,-0.09857708955055587,5
2019-12-29,0.03801050277999761,6
2019-12-30,-0.1093634976472992,0
2019-12-31,0.09027769216334314,1
2020-01-01,0.27552635507483214,2
2020-01-02,-0.2945779443338919,3
2020-01-03,-0.13699713671662883,4
2020-01-04,0.09696293503112675,5
2020-01-05,0.22233237130926425,6
2020-01-06,0.2781293321620462,0
2020-01-07,0.20238360347716594,1
2020-01-08,0.14530164961237024,2
2020-01-09,0.26241950868910474,3
2020-01-10,0.1177938075249529,4
2020-01-11,0.5437667473667094,5
2020-01-12,0.18753570810031675,6
2020-01-13,0.03996551544132813,0
2020-01-14,-0.15443314259957178,1
2020-01-15,0.04990411599262341,2
2020-01-16,0.11978875049486858,3
2020-01-17,0.4031394811749716,4
2020-01-18,0.3072824340343329,5
2020-01-19,0.17607635397771443,6
2020-01-20,0.46311251412130205,0
2020-01-21,0.18537886231814885,1
2020-01-22,0.2465449135787917,2
2020-01-23,0.29449672444308295,3
2020-01-24,0.027890132734225456,4
2020-01-25,0.08687757545617995,5
2020-01-26,0.2863657214528811,6
2020-01-27,-0.019691084876613967,0
2020-01-28,-0.03199877753577142,1
2020-01-29,-0.0386265927384235,2
2020-01-30,0.249239049914645,3
2020-01-31,0.24632688303250905,4
2020-02-01,-0.09361192123049711,5
2020-02-02,-0.3171871606128078,6
2020-02-03,0.1565640396656507,0
2020-02-04,-0.06152705003418079,1
2020-02-05,0.09880621486063877,2
2020-02-06,-0.23379231615281482,3
2020-02-07,0.05025743830172068,4
2020-02-08,0.6069688908659548,5
2020-02-09,0.31343436185257206,6
2020-02-10,-0.1362403011201754,0
2020-02-11,-0.1480512114604773,1
2020-02-12,0.009833856834393447,2
2020-02-13,0.0258108703100908,3
2020-02-14,0.0075638720208945605,4
2020-02-15,0.1605090891539282,5
2020-02-16,0.003599983866977854,6
2020-02-17,-0.0565209315024424,0
2020-02-18,-0.07903332433061244,1
2020-02-19,0.31114427735011657,2
2020-02-20,0.018659152174253953,3
2020-02-21,0.1168197533759922,4
2020-02-22,0.16932356454073058,5
2020-02-23,0.6294485524530613,6
2020-02-24,-0.05706926490743359,0
2020-02-25,-0.2613871957707767,1
2020-02-26,0.14682076497460214,2
2020-02-27,0.20552107271451642,3
2020-02-28,-0.42600155788417593,4
2020-02-29,-0.07222224499239771,5
2020-03-01,0.13426661244471128,6
2020-03-02,-0.2887595584949719,0
2020-03-03,0.08741246399350354,1
2020-03-04,0.14091862825737467,2
2020-03-05,0.0018686733600315904,3
2020-03-06,0.07083428779607194,4
2020-03-07,0.15305406354782056,5
2020-03-08,0.005632669260941692,6
2020-03-09,0.2524033970096306,0
2020-03-10,0.04612931734833161,1
2020-03-11,0.20763990117682227,2
2020-03-12,0.12201493620534866,3
2020-03-13,0.1100622387912583,4
