,score,day,Movement
2019-11-05,0.17695999999999998,1,2.9506367820439916
2019-11-06,0.12393703703703708,2,2.7435849487542185
2019-11-07,0.10846631578947373,3,0.476841793024918
2019-11-10,0.16041290322580645,6,2.3580663469468632
2019-11-11,0.2235627450980392,0,1.4025356110735299
2019-11-12,0.21664666666666665,1,-1.0916469008087515
2019-11-13,0.18036212121212125,2,0.9361229089017931
2019-11-14,0.15813958333333336,3,0.8072062055013873
2019-11-17,0.15628695652173913,6,-0.6190149819409685
2019-11-18,0.169982,0,2.7229320448736827
2019-11-19,0.06347826086956522,1,-2.0304837287283495
2019-11-20,0.07130816326530612,2,0.7410183975924189
2019-11-21,0.18076451612903224,3,-6.140970064215113
2019-11-24,0.09315849056603774,6,0.9908659322944269
2019-11-25,0.16010465116279066,0,-2.206102521439679
2019-11-26,0.16083064516129034,1,0.7205491025423783
2019-11-28,0.21215833333333334,3,-0.4075039810662595
2019-12-01,0.18941538461538465,6,1.4942110913228168
2019-12-02,0.1602604651162791,0,0.39716756348984195
2019-12-03,0.0959304347826087,1,-0.9428837282237867
2019-12-04,0.27278,2,-0.7987358136473222
2019-12-05,0.07458085106382979,3,1.6708600207733904
2019-12-08,0.012539999999999985,6,1.083683630300336
2019-12-09,0.09222553191489363,0,2.742025822225602
2019-12-10,0.08059183673469389,1,1.1065288128233375
2019-12-11,0.11439347826086955,2,1.9790132977174135
2019-12-12,0.13114259259259262,3,-0.35864658969000374
2019-12-15,0.04646666666666667,6,6.448285297465262
2019-12-16,0.19260729166666665,0,-0.6579370645634297
2019-12-17,0.1524555555555556,1,3.736246486829997
2019-12-18,0.11449807692307695,2,2.7699377885007426
2019-12-19,0.12109917355371905,3,0.38362167586898366
2019-12-22,0.2306487179487179,6,3.360544064722726
2019-12-23,0.21163266331658284,0,1.4383867315875598
2019-12-25,0.2610695652173913,2,1.338037577729434
2019-12-26,0.20132698412698416,3,-0.1299577607111302
2019-12-29,0.17303142857142856,6,-3.643285173255484
2019-12-30,0.1176472222222222,0,0.8753291324974821
2020-01-01,0.4003923076923077,2,2.85181794277245
2020-01-02,0.1957703125,3,2.9633186221512897
2020-01-05,0.15435416666666665,6,1.9254667589490015
2020-01-06,0.11158000000000004,0,3.8800516441517052
2020-01-07,0.14270434782608696,1,4.9204847959956055
2020-01-08,0.13063607594936708,2,-2.194500526328891
2020-01-09,0.1690302752293578,3,-0.6627342556765226
2020-01-12,0.0013384615384615364,6,9.768904416048429
2020-01-13,0.16264433497536945,0,2.488282589642954
2020-01-14,0.1143128048780488,1,-3.6102050490779414
2020-01-15,0.1291546666666667,2,-0.966247858232816
2020-01-16,0.10311530612244896,3,-0.5822898319789993
2020-01-20,0.1541871794871795,0,7.189034420940943
2020-01-21,0.12089479166666668,1,4.086258149008426
2020-01-22,0.10687565217391304,2,0.46351480624917674
2020-01-23,0.1566203539823009,3,-1.2897631721467628
2020-01-26,0.10153000000000002,6,-1.2039242910287573
2020-01-27,0.11734107142857145,0,1.591341765217802
2020-01-28,0.11642291666666668,1,2.4854481165667908
2020-01-29,0.21202885375494074,2,10.296223003773264
2020-01-30,0.14919175257731954,3,1.5230684245782333
2020-02-02,0.2093847457627119,6,19.894863272128482
2020-02-03,0.11894153225806445,0,13.725642948717942
2020-02-04,0.1170400648824005,1,-17.17583956255767
2020-02-05,0.11332419080068146,2,1.9409316463736115
2020-02-06,0.09165429687500004,3,-0.1188374490502686
2020-02-09,0.14928813559322032,6,3.1026501945359497
2020-02-10,0.12906712328767128,0,0.40193575099709555
2020-02-11,0.06971234567901237,1,-0.9155801647184991
2020-02-12,0.1523739130434783,2,4.784377702632936
2020-02-13,0.1456652777777778,3,-0.49378481665823815
2020-02-17,0.09898472222222224,0,7.29597403777309
2020-02-18,0.14310393700787402,1,6.87558334185161
2020-02-19,0.1775985436893203,2,-1.9631085641181323
2020-02-20,0.11637295081967212,3,0.17677866208338777
2020-02-23,0.17034222222222226,6,-7.459490135285629
2020-02-24,0.07621470588235295,0,-4.063373968586193
2020-02-25,0.11013033707865168,1,-2.6390469752549217
2020-02-26,0.12841384615384618,2,-12.814581818649906
2020-02-27,0.11887159090909093,3,-1.621499227801937
2020-03-01,0.20507333333333336,6,11.322019197486988
2020-03-02,0.07185423728813559,0,0.2541661080536217
2020-03-03,0.1250875,1,0.5351966930290386
2020-03-04,0.16728627450980393,2,-3.330212941836397
2020-03-05,0.093004347826087,3,-2.9066758596255626
2020-03-08,0.06337500000000003,6,-13.572525967849302
2020-03-09,0.1607710843373493,0,6.1397994430888
2020-03-10,0.19491111111111115,1,-1.7200448632503362
2020-03-11,0.18305762711864407,2,-11.61723655757977
2020-03-12,0.13533552631578946,3,-2.4850628625005644
2020-03-15,0.07945416666666667,6,-18.577803188077723
2020-03-16,0.06827450980392155,0,-3.3410463522591916
2020-03-17,0.07823246753246753,1,-16.034400092580192
2020-03-18,0.07610303030303031,2,18.38768125847068
2020-03-19,0.11563870967741938,3,-0.025726078009558062
2020-03-22,0.07702857142857142,6,1.581181493036099
2020-03-23,0.09208235294117648,0,16.281744542086063
2020-03-24,0.1892641791044776,1,6.78217623762376
2020-03-25,0.1347138461538462,2,-2.056554511943509
2020-03-26,-0.022362745098039212,3,-2.612846386971901
2020-03-29,0.04062222222222222,6,-2.3777110899426135
2020-03-30,0.19561111111111112,0,4.355445670779101
2020-03-31,0.09332826086956522,1,-8.099243088762131
2020-04-01,0.011897297297297292,2,-5.62546642684053
2020-04-02,0.002651086956521745,3,5.619735261504677
2020-04-05,0.21672272727272726,6,7.547761583589541
2020-04-06,0.12361463414634145,0,5.658216084977763
2020-04-07,0.16794444444444442,1,0.6215070353472019
2020-04-08,0.052731250000000014,2,4.402011595401434
2020-04-12,0.19338846153846154,6,13.603843169351526
2020-04-13,0.14622976190476195,0,9.054454888171826
2020-04-14,0.16351209677419354,1,2.8088901690872747
2020-04-15,0.08083189655172414,2,2.1073427625472485
2020-04-16,0.07678493150684934,3,1.1647675946822034
2020-04-19,-0.056086206896551714,6,-0.9988174667391658
2020-04-20,0.15200370370370372,0,-7.990787796958843
2020-04-21,0.13949285714285714,1,6.609683274537681
2020-04-22,0.1275916666666667,2,-3.616936053672315
2020-04-23,0.21404545454545454,3,2.766316487647802
2020-04-26,0.025179166666666662,6,10.149624975174953
2020-04-27,0.12596263736263733,0,-3.7095430359937454
2020-04-28,0.11628985507246377,1,4.0812875727686215
2020-04-29,0.12475229885057475,2,-2.3272650458062483
2020-04-30,0.13952328767123287,3,-10.303370260630839
2020-05-03,0.18722037037037034,6,8.536758054140293
2020-05-04,0.08466213592233009,0,0.9222342223647262
2020-05-05,0.21612111111111112,1,1.8705874939220823
2020-05-06,0.17800943396226415,2,-0.3245738330429959
